,name,address,kurtosis_oxygen,pregnant,education-num,relationship,skewness_glucose,mean_glucose,std_oxygen,capital-gain,skewness_oxygen,kurtosis_glucose,personal_info,education,fnlwgt,class,std_glucose,income,mean_oxygen,hours-per-week,capital-loss
0,Alex Chinzi,"590 Samantha Bridge Apt. 572
North Allison, HI 41886",8.286598786,f,16.0, Husband,0.234418424,107.484375,15.07228364,0.0,91.08674578,0.362969389,"Prof-specialty|United-States
Married-civ-spouse -- Private|White", Doctorate,320102.0,0.0,44.48770623, >50K,2.448160535,50.0,0.0
1,Scott Bass,"5384 Hurst Groves Apt. 092
Freemanview, SD 57167",6.4558601860000016,f,13.0, Own-child,0.15112952400000002,140.203125,21.92541071,0.0,47.65028189,-0.17010070100000002,"Prof-specialty|United-States
Never-married -- Private|White", Bachelors,148300.0,0.0,44.58653093, <=50K,4.445652174,15.0,0.0
2,Chuck Lao,"USS Scott
FPO AE 78885",11.51349081,f,9.0, Unmarried,-0.024383727,124.0546875,11.8224268,0.0,194.3162001,-0.026965672000000003,"Other-service|Mexico
Separated -- Private|White", HS-grad,190885.0,0.0,45.90416454, <=50K,1.890468227,40.0,0.0
3,Floyd Squires,"122 Ryan Ranch Suite 621
Port Douglas, NM 04109",7.6417955489999985,f,13.0, Not-in-family,-0.564287457,115.046875,22.96565127,0.0,62.84865731,0.269421019,"Prof-specialty|Canada
Never-married -- Private|White", Bachelors,191385.0,0.0,58.14030167, <=50K,3.6396321069999997,40.0,0.0
4,Kenneth Cadet,"30930 Ryan Groves
Katelynside, MS 75220",8.826058342,f,9.0, Husband,0.495895796,93.3359375,13.777157999999998,4064.0,113.41014809999999,0.537548554,"Sales|United-States
Married-civ-spouse -- Private|White", HS-grad,226875.0,0.0,45.6058654, <=50K,2.510869565,40.0,0.0
5,Kent Mcgrew,"5798 Stephanie Green
Woodwardbury, DE 59169",4.92802771,f,13.0, Not-in-family,-0.47771886799999996,141.7578125,34.03831579,0.0,24.19988923,-0.290153282,"Other-service|United-States
Never-married -- Private|White", Bachelors,34701.0,0.0,-5626.690664, <=50K,7.380434782999999,40.0,0.0
6,Linwood Jackson,"00250 Maria Track Suite 373
South Pamela, AK 36714",13.15098611,f,10.0, Husband,0.24370692600000002,121.6875,11.10914737,0.0,245.1662455,0.38790452200000003,"Sales|United-States
Married-civ-spouse -- Private|White", Some-college,335168.0,0.0,45.10417629, <=50K,1.595317726,55.0,0.0
7,Kory Cosey,"05071 Solis Trace
Lynnhaven, CO 63180",4.153655941,f,11.0, Not-in-family,15.308754500000001,60.15625,43.2616472,0.0,16.45841059,3.090685587,"Adm-clerical|United-States
Never-married -- Private|White", Assoc-voc,33983.0,1.0,31.93069583, >50K,10.86705686,42.0,0.0
8,Lemuel Williams,"1487 James Mountains
Carlosfurt, AR 45616",8.733435561,f,10.0, Not-in-family,2.250635393,97.109375,17.55924451,0.0,90.35286793,0.364792345,"Sales|United-States
Never-married -- Private|White", Some-college,120277.0,0.0,35.92031858, <=50K,2.826923077,40.0,0.0
9,Gregory Haldeman,"043 Joel Glen
Isaacside, AK 30163",5.338492391,f,9.0, Own-child,0.124376557,107.59375,29.30324711,0.0,29.56640361,0.307411986,"?|United-States
Never-married -- ?|White", HS-grad,108495.0,0.0,51.48792903, <=50K,6.203177257999999,40.0,0.0
10,Phillip Orta,"028 Dalton Flats Apt. 044
Lisaland, VA 33774",9.112338964,f,6.0, Other-relative,0.8664580620000001,114.53125,17.40467063,0.0,97.00660404,0.096846121,"Sales|United-States
Never-married -- Private|Black", 10th,256967.0,0.0,-4214.556944, <=50K,2.536789298,40.0,0.0
11,George Labarre,"210 Hawkins Square
Mcintyretown, SC 44228",12.47179411,f,11.0, Own-child,0.302024592,106.3359375,13.32897514,0.0,185.8977814,0.325538889,"Tech-support|United-States
Never-married -- Private|White", Assoc-voc,162322.0,0.0,-4608.99727, <=50K,1.5903010030000002,40.0,0.0
12,Patrick Roberts,"040 King Trafficway Apt. 414
Andrewfort, DC 55775",8.520891954,f,13.0, Not-in-family,0.901278265,100.3984375,21.38761187,0.0,74.55435958,0.36951780700000003,"Prof-specialty|United-States
Never-married -- Private|White", Bachelors,62333.0,1.0,39.28369172, <=50K,2.649665552,40.0,0.0
